esf_x_px,esf,lsf_x_px,lsf
26.625,0.293834240375339,26.75,-0.0152275249722533
26.875,0.290027359132275,27,0.00183952917516961
27.125,0.290487241426068,27.25,-0.00455789863115053
27.375,0.28934776676828,27.5,0.0104030993996391
27.625,0.29194854161819,27.75,-0.0199698340874812
27.875,0.286956083096319,28,-0.000579413187626221
28.125,0.286811229799413,28.25,-0.000922722029988554
28.375,0.286580549291916,28.5,0.00279415190255006
28.625,0.287279087267553,28.75,-0.00800402212166929
28.875,0.285278081737136,29,0.0138159879336348
29.125,0.288732078720545,29.25,0.00959276018099575
29.375,0.291130268765794,29.5,0.0201993316180167
29.625,0.296180101670298,29.75,0.00833422397610351
29.875,0.298263657664324,30,0.017531718569781
30.125,0.302646587306769,30.25,0.00801502603944315
30.375,0.30465034381663,30.5,0.0255806938159879
30.625,0.311045517270627,30.75,0.000900245467719385
30.875,0.311270578637556,31,0.0209544950055494
31.125,0.316509202388944,31.25,-0.000477922692455612
31.375,0.31638972171583,31.5,0.0197979453029398
31.625,0.321339208041565,31.75,0.000120663650075459
31.875,0.321369373954084,32,0.0102729719338717
32.125,0.323937616937552,32.25,0.00187825493041904
32.375,0.324407180670156,32.5,0.00214462562964246
32.625,0.324943337077567,32.75,-0.0183773015737501
32.875,0.320349011684129,33,-0.0107982137047882
33.125,0.317649458257932,33.25,-0.0299364149883179
33.375,0.310165354510853,33.5,-0.0460296335728863
33.625,0.298657946117631,33.75,-0.0434830983406638
33.875,0.287787171532465,34,-0.034051054384018
34.125,0.279274407936461,34.25,-0.0511625706089374
34.375,0.266483765284227,34.5,-0.0237044923550114
34.625,0.260557642195474,34.75,-0.017620441841895
34.875,0.256152531735,35,0.00210684972801123
35.125,0.256679244167003,35.25,-0.0142508324084349
35.375,0.253116536064894,35.5,-0.00229379232839455
35.625,0.252543087982795,35.75,-0.0062200928636913
35.875,0.250988064766873,36,0.00531748144204869
36.125,0.252317435127385,36.25,-0.00809087296693622
36.375,0.250294716885651,36.5,0.00683001792879701
36.625,0.25200222136785,36.75,-0.00205009907432063
36.875,0.25148969659927,37,0.00133212669683269
37.125,0.251822728273478,37.25,-0.00921491733948487
37.375,0.249518998938607,37.5,0.00116864979610076
37.625,0.249811161387632,37.75,-0.0146606334841629
37.875,0.246146003016591,38,0.0100507895465878
38.125,0.248658700403238,38.25,-0.00849150326797388
38.375,0.246535824586245,38.5,-0.000883553421368366
38.625,0.246314936230903,38.75,-0.00128826191109932
38.875,0.245992870753128,39,0.00149321266968327
39.125,0.246366173920549,39.25,-0.0032986527944513
39.375,0.245541510721936,39.5,-0.0066193853427895
39.625,0.243886664386238,39.75,0.00719811328786835
39.875,0.245686192708206,40,-0.00856593617839296
40.125,0.243544708663607,40.25,-0.00559449311639548
40.375,0.242146085384508,40.5,-0.0134384768400114
40.625,0.238786466174506,40.75,0.00646024922457444
40.875,0.240401528480649,41,-0.0150291568163911
41.125,0.236644239276551,41.25,-0.0130377948280761
41.375,0.233384790569532,41.5,0.00326333843229965
41.625,0.234200625177607,41.75,-0.00437851662404098
41.875,0.233105996021597,42,-0.00756240210947889
42.125,0.231215395494227,42.25,-0.00679657496073349
42.375,0.229516251754044,42.5,-0.00524542957279539
42.625,0.228204894360845,NaN,NaN
