esf_x_px,esf,lsf_x_px,lsf
15.375,0.46277779610992,15.5,-0.00265715983363024
15.625,0.462113506151512,15.75,0.0155261594270881
15.875,0.465995046008284,16,-0.014771479069547
16.125,0.462302176240897,16.25,-0.00527924273157532
16.375,0.460982365558004,16.5,0.012189210147336
16.625,0.464029668094838,16.75,0.0135477751992734
16.875,0.467416611894656,17,-0.0146803791086914
17.125,0.463746517117483,17.25,0.00644399368942983
17.375,0.465357515539841,17.5,0.0237846460618145
17.625,0.471303677055294,17.75,0.000412097042206794
17.875,0.471406701315846,18,-0.0190237110281504
18.125,0.466650773558808,18.25,0.0120027045300879
18.375,0.46965144969133,18.5,0.0243766478342748
18.625,0.475745611649899,18.75,-0.0130171390590135
18.875,0.472491326885146,19,-0.0150499445061043
19.125,0.468728840758619,19.25,0.0173282403870636
19.375,0.473060900855385,19.5,0.030160427807487
19.625,0.480601007807257,19.75,-0.0191064542222388
19.875,0.475824394251697,20,0.00409597801384676
20.125,0.476848388755159,20.25,0.0286447157479344
20.375,0.484009567692143,20.5,0.0299762982115923
20.625,0.491503642245041,20.75,-0.0193368983957218
20.875,0.48666941764611,21,0.0114895769628607
21.125,0.489541811886825,21.25,0.0310450117153778
21.375,0.49730306481567,21.5,0.0182352941176471
21.625,0.501861888345082,21.75,-0.0234677392324452
21.875,0.49599495353697,22,0.0202178649237474
22.125,0.501049419767907,22.25,0.0396062424969985
22.375,0.510950980392157,22.5,-0.00575928582815255
22.625,0.509511158935119,22.75,-0.0226669854933852
22.875,0.503844412561772,23,0.0380105820105818
23.125,0.513347058064418,23.25,0.030972952866783
23.375,0.521090296281114,23.5,-0.0166274509803928
23.625,0.516933433536016,23.75,-3.71660859466161e-05
23.875,0.516924142014529,24,0.0649339273578495
24.125,0.533157623853991,24.25,0.0228955005425595
24.375,0.538881498989631,24.5,-0.00282480471863522
24.625,0.538175297809972,24.75,0.0192941176470587
24.875,0.542998827221737,25,0.0741024880540451
25.125,0.561524449235248,25.25,0.00231416330487555
25.375,0.562102990061467,25.5,-0.000968669203963213
25.625,0.561860822760476,25.75,0.0254640522875822
25.875,0.568226835832372,26,0.0795518207282915
26.125,0.588114791014445,26.25,-0.0050380622837376
26.375,0.58685527544351,26.5,0.0105394717970793
26.625,0.58949014339278,26.75,0.0694730106494807
26.875,0.60685839605515,27,0.0936510809451989
27.125,0.63027116629145,27.25,0.00399327731092436
27.375,0.631269485619181,27.5,0.0463686274509802
27.625,0.642861642481926,27.75,0.118610855000308
27.875,0.672514356232003,28,0.0708767788051676
28.125,0.690233550933295,28.25,0.0244889750772095
28.375,0.696355794702597,28.5,0.0650636788048558
28.625,0.712621714403811,28.75,0.0553609907120745
28.875,0.72646196208183,29,-0.0015986490289901
29.125,0.726062299824582,29.25,-0.0126279894108676
29.375,0.722905302471866,29.5,0.00646125116713359
29.625,0.724520615263649,29.75,-0.00298786181139121
29.875,0.723773649810801,30,0.00796972824217423
30.125,0.725766081871345,30.25,-0.013165462676298
30.375,0.72247471620227,30.5,0.0206652377550212
30.625,0.727641025641026,30.75,0.000356506238858856
30.875,0.72773015220074,31,0.0104575163398692
31.125,0.730344531285708,31.25,-0.00622222222222168
31.375,0.728788975730152,NaN,NaN
