ROI_Index,ROI_X,ROI_Y,ROI_W,ROI_H,Edge_Angle_deg,Edge_Contrast,MTF50_cyc_per_px,MTF20_cyc_per_px
1,179,134,205,230,93.8785245028477,0.449607843137255,0.0882836934434887,0.179390980557948
2,2176,134,205,230,90,0.0622995169082122,0.0699593656181496,0.157283245078989
3,179,1556,205,230,10.2139729850705,0.376935263817813,0.333247135487459,NaN
4,2176,1556,205,230,97.1250163489018,0.34640522875817,0.0606172651288879,0.11810813042534
