esf_x_px,esf,lsf_x_px,lsf
10.125,0.331110400682012,10.25,-0.00490196078431371
10.375,0.329884910485933,10.5,0.00978687127024713
10.625,0.332331628303495,10.75,0.0150412048877522
10.875,0.336091929525433,11,-0.00517528223410557
11.125,0.334798108966907,11.25,-0.00485158490273574
11.375,0.333585212741223,11.5,0.0120499108734402
11.625,0.336597690459583,11.75,0.0158815779276138
11.875,0.340568084941486,12,-0.00393943084480175
12.125,0.339583227230286,12.25,-0.00336813513284118
12.375,0.338741193447076,12.5,0.0178422884305238
12.625,0.343201765554707,12.75,0.0173805279687631
12.875,0.347546897546897,13,-0.00519786096256691
13.125,0.346247432306256,13.25,-0.00512791783379996
13.375,0.344965452847806,13.5,0.0218636788048552
13.625,0.35043137254902,13.75,0.0149206349206348
13.875,0.354161531279178,14,-0.00862548528183193
14.125,0.35200515995872,14.25,-0.00383488132094945
14.375,0.351046439628483,14.5,0.0253746130030961
14.625,0.357390092879257,14.75,0.00938699690402478
14.875,0.359736842105263,15,-0.0123311546840958
15.125,0.356654053434239,15.25,-0.00311432175209259
15.375,0.355875472996216,15.5,0.0278377861865993
15.625,0.362834919542866,15.75,0.0024461152882207
15.875,0.363446448364921,16,-0.0134377466156743
16.125,0.360087011711002,16.25,0.0130001281558374
16.375,0.363337043749962,16.5,0.032874535435089
16.625,0.371555677608734,16.75,0.00241896085033377
16.875,0.372160417821317,17,-0.00719327731092445
17.125,0.370362098493586,17.25,0.0199134948096886
17.375,0.375340472196009,17.5,0.0183506343713955
17.625,0.379928130788857,17.75,-0.000419689697510828
17.875,0.37982320836448,18,-0.0087748068924538
18.125,0.377629506641366,18.25,0.0216993464052286
18.375,0.383054343242673,18.5,0.0163986928104574
18.625,0.387154016445288,18.75,0.00398242055442877
18.875,0.388149621583895,19,-0.00577572964669737
19.125,0.386705689172221,19.25,0.0289971988795517
19.375,0.393954988892109,19.5,0.0200933706816062
19.625,0.39897833156251,19.75,0.00295134350036275
19.875,0.399716167437601,20,-0.0100608519269776
20.125,0.397200954455856,20.25,0.0341822882999352
20.375,0.40574652653084,20.5,0.0153587588881707
20.625,0.409586216252883,20.75,0.000717086834733927
20.875,0.409765487961566,21,-0.00820624546114734
21.125,0.407713926596279,21.25,0.0437908496732029
21.375,0.41866163901458,21.5,0.0164806435394669
21.625,0.422781799899447,21.75,0.00819988195947263
21.875,0.424831770389315,22,-0.00393582887700528
22.125,0.423847813170064,22.25,0.0504693998811647
22.375,0.436465163140355,22.5,0.0152465834818774
22.625,0.440276809010824,22.75,0.00513538748832865
22.875,0.441560655882906,23,-0.00267348678601853
23.125,0.440892284186402,23.25,0.0589946524064171
23.375,0.455640947288006,23.5,0.0199358288770053
23.625,0.460624904507257,23.75,0.0127891922319165
23.875,0.463822202565237,24,0.00144413320883929
24.125,0.464183235867446,24.25,0.0679041394335513
24.375,0.481159270725834,24.5,0.0191198257080607
24.625,0.485939227152849,24.75,0.0045582468281431
24.875,0.487078788859885,25,0.00464396284829705
25.125,0.488239779571959,25.25,0.0832897603485843
25.375,0.509062219659105,25.5,0.0129193899782134
25.625,0.512292067153659,25.75,0.00864488017429155
25.875,0.514453287197232,26,0.0309375514911845
26.125,0.522187675070028,NaN,NaN
